                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20250501"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                log_rotational_mdot_boost                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                           center_entropy                             center_omega              center_omega_div_omega_crit                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                rel_E_err                            log_rel_E_err                        log_rel_run_E_err                         virial_thm_P_avg                       virial_thm_rel_err               log_total_angular_momentum                              num_retries                                num_iters                    num_solver_iterations 
                                     296                                      830                  9.2834723581709328E+009                  7.3127850811208237E+000                  9.9680085577492838E-001                  3.3297114312527057E+001                 -1.2506073294190175E+001                  0.0000000000000000E+000                  9.9999999992962529E-001                  9.7709944636937140E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999992962529E-001                  9.7709944636937140E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9301421096065557E-001                 -3.6446120786395490E+001                 -9.8999999999999986E+001                  1.9301421096065546E-001                  4.3864643499466512E-002                 -3.4359071412036041E-001                 -3.6446120786395490E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.3614742267840073E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1988935264786446E+007                  3.7608431076851931E+000                  1.9296676791082534E-001                  9.7450329449522463E-002                  4.2417753705704762E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.2747596178686162E+000                  2.7555734653846340E+000                  1.7835446059067326E+001                  1.7835446059067326E+001                  2.7555734653846340E+000                  7.2747596178686162E+000                  1.3398347681180487E+000                  5.0004413803407100E-001                  4.0598165171408640E+000                  5.8108835594768840E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8276068112695043E-005                  9.8003379332238205E-001                  5.3745590422862458E-005                  3.8797888266663091E-003                  3.4468833607861119E-003                  9.3805276451495480E-003                  6.0376010121508472E-001                  3.7210085261271669E-001                  1.7895152319132019E-005                 -4.7472646006505066E+000                 -4.7472632944811020E+000                  6.0867862200652783E+048                  6.0470374402216943E-011                 -9.8999999999999986E+001                                        0                                       10                                       10 
                                     300                                      833                  9.3833966647783585E+009                  7.3336425417879578E+000                  9.9676928552551536E-001                  3.3297100557520572E+001                 -1.2496344835226678E+001                  0.0000000000000000E+000                  9.9999999992493782E-001                  9.7675409573022953E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999992493782E-001                  9.7675409573022953E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9926608420734868E-001                 -3.6348033033592188E+001                 -9.8999999999999986E+001                  1.9926608420734843E-001                  4.3699012104883084E-002                 -3.2206468261644261E-001                 -3.6348033033592188E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.5188931566449234E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1718884848517502E+007                  3.7605933128291960E+000                  1.9921158699949168E-001                  1.0107232870585071E-001                  4.2345176170513321E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.2752500895492282E+000                  2.7764007460623263E+000                  1.7857548532698786E+001                  1.7857548532698786E+001                  2.7764007460623263E+000                  7.2752500895492282E+000                  1.3399239094179007E+000                  5.0002426706939707E-001                  4.0603074512237480E+000                  5.7764712119020816E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8534138785316050E-005                  9.8007363194302310E-001                  5.3867869826216477E-005                  3.8791783358575792E-003                  3.4468833607861093E-003                  9.3805276451495480E-003                  6.0219286899525915E-001                  3.7363638483206496E-001                  1.9173481983800244E-005                 -4.7172990102815229E+000                 -3.9775261188039734E+000                  6.0824595279302647E+048                  6.1563806746026987E-011                 -9.8999999999999986E+001                                        0                                       10                                       10 
                                     310                                      837                  9.5623831382965584E+009                  7.2176619671143447E+000                  9.9671082284857748E-001                  3.3297075084461781E+001                 -1.2477497793548721E+001                  0.0000000000000000E+000                  9.9999999992025035E-001                  9.7599654008136005E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999992025035E-001                  9.7599654008136005E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1082962103647285E-001                 -3.6169043648050994E+001                 -1.5051499783199059E+001                  2.1082962103647307E-001                  4.3054559984362223E-002                 -2.8341757222808622E-001                 -3.6169043648050994E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.0430073891176047E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1231365703624489E+007                  3.7600533436738925E+000                  2.1076014293629791E-001                  1.0792654498486065E-001                  4.2207837114345219E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.2762200589646167E+000                  2.8163990621689599E+000                  1.7900174120187817E+001                  1.7900174120187817E+001                  2.8163990621689599E+000                  7.2762200589646167E+000                  1.3400003243460510E+000                  5.0000723349167486E-001                  4.0607283122537119E+000                  5.7111324486254729E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4466983348922101E-005                  9.8010779818812910E-001                  5.4068238693407160E-005                  3.8786527771835482E-003                  3.4468833607861024E-003                  9.3805276451495428E-003                  5.9932629574292440E-001                  3.7644416783247298E-001                  1.5402687368136702E-005                 -4.8124034994666793E+000                 -3.5689019809385361E+000                  6.0729588464095673E+048                  6.3757400124806038E-011                 -9.8999999999999986E+001                                        0                                       10                                       10 
                                     320                                      842                  9.7153542949442539E+009                  7.1572965047409207E+000                  9.9665879500154464E-001                  3.3297052413897653E+001                 -1.2460851949688799E+001                  0.0000000000000000E+000                  9.9999999992025024E-001                  9.7518455592969955E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999992025024E-001                  9.7518455592969955E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2107159334388635E-001                 -3.6009038106891985E+001                 -9.8999999999999986E+001                  2.2107159334388607E-001                  4.1886022118486993E-002                 -2.4992640199307972E-001                 -3.6009038106891985E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.3792351083713120E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0812464630191775E+007                  3.7594910149650893E+000                  2.2098538970310139E-001                  1.1416382578586898E-001                  4.2082864792683763E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.2772248931165882E+000                  2.8535155585067757E+000                  1.7939994831802199E+001                  1.7939994831802199E+001                  2.8535155585067757E+000                  7.2772248931165882E+000                  1.3400229164998645E+000                  5.0000219664771084E-001                  4.0608527276424047E+000                  5.6512029480651833E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3932954212536289E-006                  9.8011791337877840E-001                  5.4199865934443244E-005                  3.8784962584162471E-003                  3.4468833607861058E-003                  9.3805276451495462E-003                  5.9681147582965899E-001                  3.7890646795550070E-001                  1.3930956468292936E-005                 -4.8560190648652268E+000                 -3.3792251549472860E+000                  6.0624746591549477E+048                  6.5828535904389129E-011                 -9.8999999999999986E+001                                        0                                       10                                       10 
                                     330                                      850                  9.8488512840655308E+009                  7.0992325492779633E+000                  9.9661170633479756E-001                  3.3297031894506915E+001                 -1.2445705245078896E+001                  0.0000000000000000E+000                  9.9999999991400024E-001                  9.7431020469502039E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999991400024E-001                  9.7431020469502039E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3029642682679810E-001                 -3.5862259644705823E+001                 -9.8999999999999986E+001                  2.3029642682679774E-001                  4.0310414620183935E-002                 -2.2030180759700801E-001                 -3.5862259644705823E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.7936043072317767E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0444739446216775E+007                  3.7589046414152913E+000                  2.3019425860787948E-001                  1.1994100733785380E-001                  4.1967115967736683E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.2782494689120254E+000                  2.8885287542160922E+000                  1.7977778694346753E+001                  1.7977778694346753E+001                  2.8885287542160922E+000                  7.2782494689120254E+000                  1.3400297702444415E+000                  5.0000066810268518E-001                  4.0608904627851992E+000                  5.5950922137838353E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3362053699427865E-006                  9.8012098865442576E-001                  5.4273075386729621E-005                  3.8784483862514792E-003                  3.4468833607861002E-003                  9.3805276451495445E-003                  5.9456486274105114E-001                  3.8110530629377792E-001                  1.2710552360793567E-005                 -4.8958355759580119E+000                 -3.2582903102197647E+000                  6.0510903351550678E+048                  6.7891850392216340E-011                 -9.8999999999999986E+001                                        0                                       10                                       10 
                                     340                                      858                  1.0072892986681116E+010                  7.6365243543332912E+000                  9.9652899306804044E-001                  3.3296995848967967E+001                 -1.2423085648472787E+001                  0.0000000000000000E+000                  9.9999999990775024E-001                  9.7271165551184768E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999990775024E-001                  9.7271165551184768E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4624867875301112E-001                 -3.5590583256051055E+001                 -1.4875408524143378E+001                  2.4624867875301146E-001                  3.5315028465747016E-002                 -1.6859624412480201E-001                 -3.5590583256051055E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.5420737932192737E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8280833950483873E+006                  3.7576639953479076E+000                  2.4611118819366051E-001                  1.3038076426551198E-001                  4.1757960373794054E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.2805224486503404E+000                  2.9527869466708005E+000                  1.8047879816314229E+001                  1.8047879816314229E+001                  2.9527869466708005E+000                  7.2805224486503404E+000                  1.3400324487518520E+000                  5.0000007037237959E-001                  4.0609052041000311E+000                  5.4935612535423255E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4074475952041866E-007                  9.8012219487087127E-001                  5.4323417559750213E-005                  3.8784294624682083E-003                  3.4468833607860959E-003                  9.3805276451495393E-003                  5.9067306844676848E-001                  3.8491236625018477E-001                  4.6563359038813228E-005                 -4.3319556976150162E+000                 -3.1026274653816204E+000                  6.0254048081610412E+048                  7.1907402930604672E-011                 -9.8999999999999986E+001                                        0                                       10                                       10 
                                     350                                      889                  1.0875682298018614E+010                  7.8657422552474872E+000                  9.9618622231841125E-001                  3.3296846441320106E+001                 -1.2318372408970758E+001                  0.0000000000000000E+000                  9.9999999985775023E-001                  9.5624754787949406E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999985775023E-001                  9.5624754787949406E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0773027656799273E-001                 -3.4112356580789907E+001                 -9.8999999999999986E+001                  3.0773027656799268E-001                 -2.9300788080908694E-002                  3.9944126366583767E-002                 -3.4112356580789907E+001                  1.5874131521885742E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.0078829729932191E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.9371612349915738E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6096479596587364E+006                  3.7480981867523471E+000                  3.0722707802562754E-001                  1.8007032637261705E-001                  4.0762675055173379E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.2964428195464119E+000                  3.3051612491179134E+000                  1.8446880909438885E+001                  1.8446880909438885E+001                  3.3051612491179134E+000                  7.2964428195464119E+000                  1.3400327635873279E+000                  5.0000000000055389E-001                  4.0609069349389051E+000                  4.9572331395149867E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1077760167544420E-012                  9.8012233801811244E-001                  5.4336123936165126E-005                  3.8784271755869671E-003                  3.4468833607860993E-003                  9.3805276451495462E-003                  5.7526395684879827E-001                  3.9995287428487702E-001                  1.0814282130770381E-004                 -3.9660023044257868E+000                 -2.7301516958693690E+000                  5.7881265338554034E+048                  9.8287950081480182E-011                 -9.8999999999999986E+001                                        0                                       10                                       10 
                                     360                                     1001                  1.1347646598128922E+010                  7.4676057662005162E+000                  9.9593449678470325E-001                  3.3296736685912443E+001                 -1.2237732940989492E+001                  0.0000000000000000E+000                  9.9999999971712539E-001                  8.7854020410335731E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999971712539E-001                  8.7854020410335731E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2792131396982954E-001                 -3.1235230839306865E+001                 -9.8999999999999986E+001                  3.2792131396982910E-001                 -2.5526403437330281E-001                  1.9650423138898102E-001                 -3.1235230839306865E+001                  2.0485283285239056E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.5995575474560628E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1530297616796667E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4192742184781833E+006                  3.7250247838708574E+000                  3.2556862529128466E-001                  2.3538790576842453E-001                  3.9655225913180545E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.3405638628082146E+000                  3.8585032736409142E+000                  1.9145943893714946E+001                  1.9145943893714946E+001                  3.8585032736409142E+000                  7.3405638628082146E+000                  1.3400327635897848E+000                  5.0000000000000000E-001                  4.0609069349523335E+000                  4.2247853040542447E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8012233801928650E-001                  5.4336124318300638E-005                  3.8784271755664054E-003                  3.4468833607723308E-003                  9.3805276451495497E-003                  5.6515466838331385E-001                  4.0976222641709759E-001                  6.1848684675844593E-005                 -4.2086695319943876E+000                 -2.5223084253632608E+000                  5.1110512898700731E+048                  1.5253209461645839E-010                 -9.8999999999999986E+001                                        0                                       10                                       10 
                                     370                                     1081                  1.1532374152407007E+010                  7.1113319456112913E+000                  9.9582136136333610E-001                  3.3296687348450661E+001                 -1.2180584032776654E+001                  0.0000000000000000E+000                  9.9999999945150053E-001                  7.1417841500478341E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999945150053E-001                  7.1417841500478341E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3878846358600079E-001                 -2.8271092786256112E+001                 -1.5352529778863040E+001                  3.3878846358600090E-001                 -5.0114469905171455E-001                  2.7097485759676943E-001                 -2.8271092786256112E+001                  2.3852640227565500E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.7868731978457499E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2888082456026359E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5810582778632725E+006                  3.7027893245726706E+000                  3.3636847680360354E-001                  2.8525875012095786E-001                  3.8657315651512105E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.3896964613746938E+000                  4.2455897860131318E+000                  1.9695497227716530E+001                  1.9695497227716530E+001                  4.2455897860131318E+000                  7.3896964613746938E+000                  1.3400327635897848E+000                  5.0000000000000000E-001                  4.0609069349523335E+000                  3.8199809793797215E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8012233801928650E-001                  5.4336124318300625E-005                  3.8784271755664059E-003                  3.4468829798403257E-003                  9.3805276451767779E-003                  5.6110318998479558E-001                  4.1368388008376639E-001                  3.4479481663197554E-005                 -4.4624392716322756E+000                 -2.4110532091061634E+000                  4.5043449177169512E+048                  2.2237429604911256E-010                 -9.8999999999999986E+001                                        0                                       10                                       10 
